                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0339,                 2.8517,                 1.2269,                0.72412,                0.73841,                0.79513,                0.61097,                0.87295,                 1.0736,                 1.0457,              0.0033276,              0.0033276,              0.0033276
                      2,                0.97042,                 1.3386,                 1.1798,                0.81778,                0.76696,                0.83854,                0.63085,                0.92737,                0.96788,                  1.099,               0.006595,               0.006595,               0.006595
                      3,                 1.0811,                 1.3532,                  1.262,                0.63786,                0.70595,                0.75819,                0.52656,                 1.0565,                 1.5259,                  1.193,              0.0097964,              0.0097964,              0.0097964
                      4,                 1.1697,                 1.4732,                 1.3158,                0.74141,                0.61426,                0.71128,                0.50996,                 1.0822,                 1.3384,                 1.2518,               0.009703,               0.009703,               0.009703
                      5,                 1.1144,                 1.3061,                 1.2836,                0.80533,                0.80241,                0.88116,                0.64939,                0.93723,                0.93649,                 1.1403,               0.009703,               0.009703,               0.009703
                      6,                 1.0504,                 1.1445,                 1.2473,                0.81516,                0.76434,                0.83105,                0.62381,                0.95299,                0.95837,                 1.1558,               0.009604,               0.009604,               0.009604
                      7,                   1.01,                 1.0408,                 1.2221,                0.80528,                0.85483,                0.90716,                0.68651,                0.87161,                0.77565,                 1.1013,               0.009505,               0.009505,               0.009505
                      8,                 0.9864,                 0.9548,                 1.2078,                0.88974,                0.90076,                0.93502,                0.74605,                0.83333,                0.63769,                 1.0663,               0.009406,               0.009406,               0.009406
                      9,                0.93962,                0.88961,                 1.1807,                0.87708,                0.89015,                0.92728,                0.73494,                0.82676,                0.63861,                 1.0538,               0.009307,               0.009307,               0.009307
                     10,                0.92466,                0.85328,                 1.1776,                0.93582,                0.93147,                0.96786,                0.77862,                0.77913,                 0.5606,                  1.035,               0.009208,               0.009208,               0.009208
                     11,                0.90509,                0.80882,                  1.167,                0.94884,                0.93565,                0.97113,                0.79798,                0.72975,                0.51523,                 1.0119,               0.009109,               0.009109,               0.009109
                     12,                0.87818,                 0.7773,                 1.1485,                0.94798,                 0.9396,                0.97795,                0.80923,                0.72486,                 0.4859,                 1.0023,                0.00901,                0.00901,                0.00901
                     13,                0.86061,                 0.7505,                 1.1369,                0.95058,                0.93687,                0.97794,                0.80492,                0.74342,                0.50101,                  1.008,               0.008911,               0.008911,               0.008911
                     14,                0.84074,                0.72987,                 1.1293,                0.94216,                0.96371,                 0.9757,                0.81327,                 0.7049,                0.47689,                0.99143,               0.008812,               0.008812,               0.008812
                     15,                0.83114,                0.70781,                   1.12,                0.96479,                0.95192,                0.98254,                0.82809,                0.71568,                0.47361,                0.99984,               0.008713,               0.008713,               0.008713
                     16,                0.81014,                0.66762,                 1.1106,                0.95609,                0.95975,                0.98127,                0.83894,                0.66374,                0.42607,                0.97419,               0.008614,               0.008614,               0.008614
                     17,                0.79593,                0.66072,                 1.1042,                0.96102,                0.96913,                0.98238,                0.83449,                0.67155,                 0.4346,                0.97723,               0.008515,               0.008515,               0.008515
                     18,                 0.7838,                0.63336,                 1.0974,                0.97223,                0.97149,                0.98607,                0.84818,                0.66273,                0.41547,                0.97316,               0.008416,               0.008416,               0.008416
                     19,                0.78587,                0.63209,                 1.1041,                0.97358,                0.97828,                0.98533,                 0.8551,                0.62919,                0.40222,                0.95541,               0.008317,               0.008317,               0.008317
                     20,                0.77016,                0.61782,                 1.0924,                0.96507,                0.96716,                0.98713,                0.85082,                0.63892,                0.40256,                0.95055,               0.008218,               0.008218,               0.008218
                     21,                0.76012,                0.60583,                 1.0822,                0.97469,                0.97841,                0.98495,                0.84656,                0.65371,                0.39592,                0.95996,               0.008119,               0.008119,               0.008119
                     22,                0.75085,                0.58279,                 1.0791,                0.98474,                0.96908,                0.98912,                0.85282,                0.63704,                0.41711,                0.95013,                0.00802,                0.00802,                0.00802
                     23,                0.73724,                 0.5821,                 1.0736,                0.97559,                0.97666,                0.98595,                0.86188,                0.61733,                0.38045,                 0.9372,               0.007921,               0.007921,               0.007921
                     24,                0.73772,                0.57148,                  1.067,                0.98302,                0.98044,                0.98851,                0.86631,                0.61578,                0.36166,                0.93161,               0.007822,               0.007822,               0.007822
                     25,                 0.7284,                0.55218,                 1.0639,                0.97909,                0.98344,                0.98689,                0.86934,                0.60689,                0.36502,                0.93699,               0.007723,               0.007723,               0.007723
                     26,                0.72604,                0.55694,                 1.0679,                0.98094,                0.96913,                0.98718,                0.86862,                 0.6021,                0.35706,                0.93369,               0.007624,               0.007624,               0.007624
                     27,                0.71168,                0.54527,                 1.0558,                0.97776,                0.97046,                0.98612,                0.86874,                 0.5942,                0.34802,                0.93457,               0.007525,               0.007525,               0.007525
                     28,                0.71044,                0.52548,                 1.0547,                0.98464,                0.98334,                 0.9886,                0.87798,                0.58263,                0.33614,                0.92394,               0.007426,               0.007426,               0.007426
                     29,                0.71033,                0.52791,                 1.0551,                0.98196,                 0.9787,                0.98958,                 0.8724,                0.60193,                0.35349,                0.93055,               0.007327,               0.007327,               0.007327
                     30,                0.68852,                0.51243,                 1.0411,                0.98693,                0.97912,                0.98971,                0.87981,                0.58485,                0.33358,                0.91846,               0.007228,               0.007228,               0.007228
                     31,                0.68731,                   0.51,                 1.0398,                0.99118,                0.98337,                 0.9897,                0.88245,                0.57875,                0.32404,                0.91906,               0.007129,               0.007129,               0.007129
                     32,                0.68046,                0.49838,                 1.0405,                0.98522,                0.98541,                 0.9908,                0.88597,                0.57493,                0.32057,                0.91845,                0.00703,                0.00703,                0.00703
                     33,                 0.6828,                 0.5077,                 1.0399,                0.98356,                0.98575,                0.98921,                0.88298,                0.57816,                0.32132,                0.91152,               0.006931,               0.006931,               0.006931
                     34,                0.67376,                0.49032,                 1.0354,                0.98607,                0.98498,                0.98905,                0.88383,                0.56028,                0.31554,                0.91953,               0.006832,               0.006832,               0.006832
                     35,                0.66673,                0.48218,                  1.033,                0.98734,                0.98701,                0.99008,                0.88812,                0.56442,                0.30904,                0.90998,               0.006733,               0.006733,               0.006733
                     36,                0.65964,                0.48417,                 1.0267,                0.97664,                0.98706,                0.99012,                0.88974,                0.55486,                0.30285,                0.90329,               0.006634,               0.006634,               0.006634
                     37,                0.66122,                 0.4712,                 1.0325,                0.98924,                0.98617,                0.99073,                0.89198,                0.55476,                0.29951,                0.91472,               0.006535,               0.006535,               0.006535
                     38,                0.66183,                0.47209,                 1.0319,                0.99123,                0.98808,                0.99147,                0.89039,                0.57013,                0.29943,                0.91446,               0.006436,               0.006436,               0.006436
                     39,                0.64355,                0.45747,                 1.0233,                0.98644,                0.98698,                0.99106,                0.89598,                0.55735,                0.29179,                0.90537,               0.006337,               0.006337,               0.006337
                     40,                 0.6411,                0.45519,                 1.0229,                0.98736,                0.98162,                0.98836,                0.89559,                0.54227,                0.28346,                0.90768,               0.006238,               0.006238,               0.006238
                     41,                0.63555,                 0.4556,                  1.014,                0.98279,                 0.9839,                0.99114,                0.89525,                0.54238,                0.28511,                0.90873,               0.006139,               0.006139,               0.006139
                     42,                0.63852,                0.44844,                 1.0215,                0.98907,                0.98795,                  0.991,                0.89388,                0.54267,                 0.2851,                0.90598,                0.00604,                0.00604,                0.00604
                     43,                0.62844,                0.43683,                 1.0138,                0.99054,                0.98538,                  0.991,                0.89371,                0.54711,                0.28242,                0.90951,               0.005941,               0.005941,               0.005941
                     44,                0.62269,                0.43654,                 1.0129,                0.98861,                0.98813,                0.99077,                0.90199,                0.52779,                 0.2734,                0.89995,               0.005842,               0.005842,               0.005842
                     45,                0.61976,                0.42767,                 1.0103,                0.98987,                 0.9889,                0.99153,                0.89895,                0.52906,                0.27346,                0.90035,               0.005743,               0.005743,               0.005743
                     46,                0.62031,                0.42666,                 1.0058,                0.99132,                0.98588,                0.99156,                 0.9054,                0.52366,                0.26784,                 0.8967,               0.005644,               0.005644,               0.005644
                     47,                0.61644,                0.42264,                 1.0124,                0.99133,                0.99046,                0.99177,                0.90601,                0.52057,                0.26334,                0.89509,               0.005545,               0.005545,               0.005545
                     48,                0.61243,                0.41946,                 1.0037,                0.98867,                0.98958,                0.99185,                0.90667,                 0.5177,                0.26401,                0.89218,               0.005446,               0.005446,               0.005446
                     49,                0.60783,                0.41372,                 1.0068,                0.99246,                0.98973,                0.99154,                0.90863,                0.51301,                0.26063,                0.89298,               0.005347,               0.005347,               0.005347
                     50,                0.60047,                0.40871,                0.99928,                 0.9921,                0.98837,                0.99177,                0.90773,                0.51309,                0.26006,                0.89905,               0.005248,               0.005248,               0.005248
                     51,                0.59761,                 0.4062,                 1.0039,                0.98413,                0.98954,                 0.9917,                0.91094,                0.51241,                0.25844,                0.89598,               0.005149,               0.005149,               0.005149
                     52,                0.59916,                 0.4061,                 0.9988,                0.99029,                0.98929,                0.99147,                0.90664,                0.51764,                0.25861,                 0.8938,                0.00505,                0.00505,                0.00505
                     53,                0.60144,                 0.4103,                 1.0033,                0.99243,                0.98752,                0.99174,                0.91188,                0.50108,                0.24744,                0.89039,               0.004951,               0.004951,               0.004951
                     54,                0.59036,                0.38939,                0.99431,                0.99226,                0.98945,                 0.9915,                0.91242,                0.50335,                0.25077,                0.89092,               0.004852,               0.004852,               0.004852
                     55,                 0.5826,                 0.3908,                0.99353,                0.99291,                0.98842,                0.99233,                0.91341,                0.50307,                0.24656,                0.88543,               0.004753,               0.004753,               0.004753
                     56,                0.58817,                0.39075,                0.99662,                0.98937,                0.98838,                0.99167,                0.91036,                0.49862,                0.24653,                0.88581,               0.004654,               0.004654,               0.004654
                     57,                0.57858,                0.38532,                0.99123,                0.99018,                0.98629,                0.99209,                0.91296,                0.50062,                  0.245,                0.88787,               0.004555,               0.004555,               0.004555
                     58,                0.56953,                0.37461,                0.98185,                0.99136,                 0.9894,                0.99163,                0.91325,                0.49401,                0.23966,                0.88531,               0.004456,               0.004456,               0.004456
                     59,                0.55753,                0.36814,                0.97792,                0.99236,                 0.9894,                0.99181,                0.91573,                0.49074,                0.24127,                0.88335,               0.004357,               0.004357,               0.004357
                     60,                0.55909,                0.37166,                0.98306,                0.99177,                0.98807,                0.99225,                0.91797,                0.48859,                0.23909,                0.88514,               0.004258,               0.004258,               0.004258
                     61,                0.55287,                0.36985,                0.97646,                0.99221,                0.98921,                 0.9926,                0.91345,                0.49235,                0.23905,                0.88419,               0.004159,               0.004159,               0.004159
                     62,                0.55025,                0.36071,                0.97506,                 0.9914,                0.98888,                0.99176,                0.91577,                0.49035,                0.23759,                0.88411,                0.00406,                0.00406,                0.00406
                     63,                0.56191,                0.36549,                0.98087,                0.99119,                0.99001,                0.99251,                 0.9193,                0.48939,                0.23154,                0.88493,               0.003961,               0.003961,               0.003961
                     64,                0.54811,                0.35824,                0.97545,                0.99062,                0.98967,                0.99196,                0.91711,                0.48726,                0.23032,                0.88535,               0.003862,               0.003862,               0.003862
                     65,                0.53775,                0.35268,                0.97087,                0.99313,                0.98946,                0.99245,                0.92163,                0.47642,                0.22648,                0.88073,               0.003763,               0.003763,               0.003763
                     66,                0.53828,                0.35353,                0.96678,                0.99073,                0.99223,                0.99274,                0.92258,                0.47728,                0.22654,                0.87764,               0.003664,               0.003664,               0.003664
                     67,                0.53136,                0.34995,                0.96413,                0.99151,                 0.9921,                0.99255,                0.91992,                0.48003,                0.22639,                0.87907,               0.003565,               0.003565,               0.003565
                     68,                0.53677,                0.34256,                0.97295,                0.98931,                 0.9918,                0.99237,                0.91911,                0.48172,                0.22389,                0.87899,               0.003466,               0.003466,               0.003466
                     69,                 0.5299,                0.34023,                0.96488,                 0.9906,                0.98926,                0.99162,                0.91714,                0.48023,                0.22326,                0.87607,               0.003367,               0.003367,               0.003367
                     70,                0.52364,                0.33398,                0.96702,                 0.9903,                   0.99,                0.99199,                0.92195,                0.47322,                0.21983,                0.87565,               0.003268,               0.003268,               0.003268
                     71,                0.52452,                0.33254,                 0.9618,                0.99002,                0.98976,                0.99226,                0.92152,                0.47437,                0.22081,                0.87454,               0.003169,               0.003169,               0.003169
                     72,                0.52398,                0.32966,                0.96697,                0.99015,                0.99124,                0.99247,                0.92304,                0.47156,                0.21992,                0.87376,                0.00307,                0.00307,                0.00307
                     73,                0.51407,                 0.3245,                0.95759,                0.99099,                0.99038,                0.99282,                0.92508,                0.46935,                0.21639,                0.87298,               0.002971,               0.002971,               0.002971
                     74,                0.51429,                0.32496,                 0.9572,                 0.9911,                0.98975,                0.99263,                0.92253,                0.47108,                0.21549,                0.87405,               0.002872,               0.002872,               0.002872
                     75,                0.50873,                0.32158,                0.95489,                0.99062,                0.99046,                0.99222,                0.92279,                0.47165,                0.21484,                0.87278,               0.002773,               0.002773,               0.002773
                     76,                0.50324,                0.31763,                0.95016,                0.98995,                0.98965,                0.99225,                0.92235,                0.47279,                0.21359,                0.87276,               0.002674,               0.002674,               0.002674
                     77,                0.49732,                0.31205,                0.95045,                0.99218,                0.98967,                0.99227,                0.92226,                0.47041,                 0.2136,                 0.8718,               0.002575,               0.002575,               0.002575
                     78,                0.49164,                0.30875,                0.94693,                0.99217,                0.99023,                0.99265,                0.92288,                0.46655,                0.21211,                0.87009,               0.002476,               0.002476,               0.002476
                     79,                0.48905,                0.30811,                0.94622,                0.99136,                0.98941,                0.99186,                0.92264,                0.46664,                 0.2118,                0.86852,               0.002377,               0.002377,               0.002377
                     80,                0.49339,                0.30426,                0.94977,                0.99148,                0.99162,                0.99246,                0.92428,                0.46455,                0.21056,                0.86748,               0.002278,               0.002278,               0.002278
                     81,                0.48834,                0.30556,                0.94088,                0.99172,                0.99131,                0.99208,                0.92515,                0.46291,                0.21038,                0.86687,               0.002179,               0.002179,               0.002179
                     82,                0.47665,                0.29909,                0.94129,                0.99203,                0.99247,                0.99212,                0.92341,                0.46166,                0.20683,                0.86555,                0.00208,                0.00208,                0.00208
                     83,                0.48258,                0.29535,                0.93924,                0.99313,                0.99226,                0.99216,                0.92536,                0.46136,                  0.206,                0.86586,               0.001981,               0.001981,               0.001981
                     84,                0.47782,                0.29256,                0.94212,                0.99161,                0.99223,                0.99204,                0.92698,                0.45907,                0.20383,                 0.8646,               0.001882,               0.001882,               0.001882
                     85,                0.47152,                0.29085,                0.93812,                0.99153,                0.99203,                0.99205,                0.92525,                0.45876,                0.20375,                0.86383,               0.001783,               0.001783,               0.001783
                     86,                0.46641,                0.28611,                  0.933,                0.99169,                0.99175,                0.99217,                0.92622,                0.45833,                0.20213,                0.86326,               0.001684,               0.001684,               0.001684
                     87,                 0.4678,                0.28241,                0.93472,                0.99194,                0.99186,                0.99214,                0.92591,                0.45651,                 0.2015,                0.86273,               0.001585,               0.001585,               0.001585
                     88,                0.45683,                0.27658,                0.93102,                0.99171,                0.99216,                 0.9922,                0.92548,                0.45525,                0.20082,                0.86216,               0.001486,               0.001486,               0.001486
                     89,                0.45756,                0.27858,                0.92949,                0.99218,                0.99205,                0.99229,                0.92589,                0.45422,                0.19978,                0.86149,               0.001387,               0.001387,               0.001387
                     90,                0.45076,                0.27648,                0.92895,                 0.9934,                0.99212,                0.99235,                0.92656,                0.45305,                0.20001,                0.86101,               0.001288,               0.001288,               0.001288
                     91,                0.39562,                0.21146,                0.86586,                0.99278,                0.99241,                0.99253,                0.92815,                0.45173,                0.19988,                0.86001,               0.001189,               0.001189,               0.001189
                     92,                 0.3893,                 0.2098,                0.86261,                0.99333,                0.99229,                0.99259,                 0.9293,                0.45002,                0.19886,                 0.8591,                0.00109,                0.00109,                0.00109
                     93,                0.38478,                 0.2036,                0.85976,                0.99383,                0.99211,                0.99264,                0.92871,                0.44989,                0.19781,                0.85907,               0.000991,               0.000991,               0.000991
                     94,                0.38404,                0.20309,                0.86217,                0.99332,                0.99274,                0.99264,                0.92987,                0.44906,                0.19703,                0.85946,               0.000892,               0.000892,               0.000892
                     95,                0.37328,                  0.198,                0.85673,                0.99382,                0.99293,                0.99249,                0.92832,                0.44903,                 0.1966,                0.85963,               0.000793,               0.000793,               0.000793
                     96,                0.37439,                0.19647,                0.85959,                 0.9938,                0.99317,                0.99244,                0.92833,                0.44887,                0.19512,                 0.8602,               0.000694,               0.000694,               0.000694
                     97,                0.36362,                0.18914,                0.85291,                0.99263,                0.99334,                 0.9924,                 0.9285,                0.44716,                0.19523,                0.85994,               0.000595,               0.000595,               0.000595
                     98,                0.36189,                0.18773,                0.85509,                 0.9933,                0.99335,                0.99234,                0.92873,                0.44654,                0.19579,                0.85992,               0.000496,               0.000496,               0.000496
                     99,                0.36032,                0.18719,                 0.8522,                0.99358,                0.99327,                0.99254,                0.92992,                 0.4464,                0.19465,                0.86006,               0.000397,               0.000397,               0.000397
                    100,                0.35686,                0.18503,                0.85017,                0.99342,                0.99346,                0.99236,                0.93008,                0.44482,                0.19469,                 0.8601,               0.000298,               0.000298,               0.000298
